"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","XBF","SBF","SB%","KF","3BF","2BF","GDPF","Steal","Jump","BA vs L","OBP vs L","SLG vs L","HRF vs L","BA vs R","OBP vs R","SLG vs R","HRF vs R","PB","C Throw", 
"RF, C, 2B, 3B, SS","Kelly, King R  ","$9,003,000","61204",".278",".346",".404","84.1","62.6","10.8","14.6","33.8",".709","7.99","115.0","19.0","46.6","Vg","Vg",".290",".362",".432","58.5",".270",".335",".387","65.5","5","Vg",  
"C, 1B","Posey, Buster R  ","$8,984,000","27059",".293",".357",".422","87.7","43.0","11.1","18.3","419.3",".643","17.7","222.0","22.5","33.2","Av","Pr",".316",".383",".468","36.5",".281",".342",".399","47.3","1","Av",  
"C","Munson, Thurman R  ","$8,862,000","29060",".284",".336",".394","76.6","59.3","14.6","19.4","199.0",".637","10.3","138.4","25.2","36.6","Fr","Fr",".291",".346",".402","55.4",".278",".329",".386","63.2","4","Vg",  
"C","Salkeld, Bill L  ","$8,589,000","29630",".253",".375",".426","99.4","23.1","6.14","24.0","473.0",".679","7.24","589.3","30.6","44.6","Av","Pr",".204",".314",".300","42.1",".262",".386",".451","21.2","4","Fr",  
"C","Haller, Tom L  ","$8,582,000","14549",".257",".332",".400","81.0","35.1","10.2","20.5","342.3",".593","7.84","133.6","27.9","61.3","Pr","Fr",".220",".296",".323","50.7",".269",".345",".425","31.8","4","Vg",  
"C, CF","Bresnahan, Roger R  ","$8,344,000","22603",".263",".367",".395","90.6","50.7","7.37","15.8","66.9",".633","8.10","125.6","22.0","51.8","Av","Vg",".270",".381",".411","47.4",".259",".360",".386","52.7","5","Av",  
"C, 1B","Simmons, Ted S  ","$8,326,000","36677",".271",".323",".419","77.1","37.2","14.0","16.8","2862.1",".452","12.7","157.8","20.7","31.7","Pr","Pr",".273",".328",".415","40.3",".271",".320",".421","35.6","5","Av",  
"1B, C","York, Rudy R  ","$8,267,000","32190",".246",".324",".438","82.6","22.4","9.74","19.5","220.7",".598","5.50","155.0","25.6","36.2","Av","Fr",".253",".334",".453","21.5",".242",".318",".429","22.9","7","Fr",  
"C","Santop, Louis L  ","$8,100,000","40113",".259",".299",".417","69.6","29.2","19.1","21.1","917.1",".681","8.77","137.3","27.1","29.8","Fr","Pr",".253",".291",".397","33.3",".262",".304",".427","27.6","4","Ex",  
"C","Campanella, Roy R  ","$7,984,000","19082",".255",".326",".431","81.8","23.2","10.8","23.1","264.7",".591","7.43","293.7","28.5","35.7","Fr","Fr",".269",".342",".463","20.2",".248",".317",".414","25.4","2","Ex",  
"C, 1B, RF","Tettleton, Mickey S  ","$7,931,000","40758",".228",".345",".407","87.4","24.4","6.64","21.2","395.6",".535","4.78","140.6","30.9","54.4","Fr","Fr",".225",".339",".388","28.2",".230",".349",".417","22.8","4","Av",  
"C","Kendall, Jason R  ","$7,735,000","33415",".279",".350",".337","73.1","375.4","13.6","22.5","61.3",".624","20.3","180.8","29.5","49.2","Av","Av",".287",".360",".355","254.8",".274",".345",".327","520.3","3","Av",  
"C, 1B","Freehan, Bill R  ","$7,704,000","33222",".255",".326",".380","74.9","45.3","12.0","20.2","733.8",".637","10.2","121.1","28.1","47.1","Av","Pr",".266",".345",".406","38.2",".250",".318",".369","50.5","3","Vg",  
"C","Dietz, Dick R  ","$7,584,000","49194",".257",".382",".415","97.9","29.8","5.98","18.6","1871.2",".571","5.84","307.1","24.5","35.8","Pr","Pr",".275",".404",".453","24.7",".244",".367",".390","34.5","7","Fr",  
"C","Bassler, Johnny L  ","$7,347,000","30910",".257",".365",".318","76.9","98.8","7.06","34.1","338.4",".667","10.3","729.8","43.5","50.0","Av","Pr",".244",".351",".288","158.1",".264",".372",".334","81.8","3","Vg",  
"C","Molina, Yadier R  ","$7,328,000","5607",".287",".332",".388","73.0","73.8","16.1","18.6","164.1",".627","25.1","184.0","22.6","30.7","Av","Fr",".308",".351",".428","76.8",".283",".327",".376","80.5","2","Ex",  
"C, SP","Radcliffe, Double Duty R  ","$7,281,000","7506",".251",".296",".346","58.0","79.0","17.6","20.3","280.6",".580","8.35","133.4","26.4","38.7","Av","Fr",".256",".303",".362","68.2",".246",".290",".333","90.7","3","Vg",  
"C","Smith, Earl L  ","$7,213,000","13361",".261",".344",".393","81.6","36.4","9.00","20.9","193.1",".556","10.4","663.2","24.8","44.5","Av","Fr",".228",".298",".292","93.7",".266",".350",".406","33.8","7","Vg",  
"C","Hiatt, Jack R  ","$7,203,000","25743",".256",".376",".380","90.1","45.8","6.26","19.4","1725.4",".621","4.95","175.5","26.9","42.6","Pr","Pr",".273",".395",".422","37.4",".245",".362",".352","53.4","5","Av",  
"C","Mackey, Biz S  ","$7,156,000","21533",".256",".324",".359","67.1","68.1","11.3","19.6","135.9",".548","9.38","144.9","25.7","33.8","Fr","Av",".260",".330",".365","71.0",".253",".321",".355","66.9","4","Ex",  
"LF, C, 1B, 3B, CF, RF","O'Rourke, Jim R  ","$7,110,000","19110",".274",".330",".377","73.9","93.7","13.4","16.4","49.5",".675","9.22","111.4","21.5","46.0","Vg","Av",".286",".344",".407","82.2",".268",".325",".363","97.1","5","Fr",  
"C, 1B, 2B, 3B, RF","Ewing, Buck R  ","$7,073,000","19043",".264",".316",".396","74.5","67.5","14.1","15.3","19.1",".705","8.79","48.7","25.3","47.2","Vg","Ex",".272",".325",".420","65.4",".260",".311",".385","68.5","3","Av",  
"C","Phelps, Babe L  ","$7,069,000","15452",".278",".332",".435","82.6","36.4","14.1","15.1","268.5",".630","8.76","136.4","18.8","34.7","Av","Fr",".255",".305",".371","57.7",".284",".339",".452","33.2","6","Av",  
"C, 3B, LF","Schang, Wally S  ","$7,028,000","19033",".247",".345",".357","77.4","61.6","8.45","19.3","74.1",".604","6.69","124.3","27.7","55.8","Av","Av",".247",".340",".353","65.0",".248",".350",".361","60.5","5","Vg",  
"C","DeLancey, Bill L  ","$6,981,000","25917",".245",".348",".419","89.1","27.5","7.42","20.3","2759.2",".647","6.44","74.9","34.8","47.4","Pr","Pr",".215",".311",".333","45.3",".252",".355",".438","25.4","3","Av",  
"C","Fisk, Carlton R  ","$6,981,000","23507",".252",".323",".409","79.3","31.4","11.7","19.0","150.7",".665","7.14","125.6","25.7","50.8","Av","Fr",".255",".323",".413","29.7",".251",".324",".408","32.4","3","Av",  
"C","Parrish, Lance R  ","$6,967,000","27083",".247",".303",".416","72.0","26.9","13.5","20.2","380.2",".513","5.61","133.6","26.5","36.5","Fr","Fr",".258",".318",".450","22.9",".240",".293",".395","30.2","5","Vg",  
"C","Romano, Johnny R  ","$6,952,000","14357",".244",".336",".403","81.3","27.9","8.58","21.9","3313.0",".500","6.64","204.5","28.8","39.8","Pr","Pr",".252",".348",".435","24.2",".240",".331",".387","30.1","4","Av",  
"C","Meyers, Chief R  ","$6,877,000","17329",".277",".346",".375","78.5","73.1","12.3","20.2","212.2",".571","9.12","155.0","26.7","50.3","Fr","Fr",".278",".354",".382","65.3",".276",".341",".370","78.2","4","Av",  
"LF, C, 1B, 3B, RF","Surhoff, B.J. L  ","$6,875,000","19591",".268",".315",".366","68.2","76.2","15.3","19.1","74.0",".612","15.6","156.7","24.0","52.8","Av","Av",".269",".320",".372","63.8",".267",".312",".363","85.3","4","Av",  
"C","Hargrave, Bubbles R  ","$6,756,000","18732",".261",".329",".402","78.8","47.8","11.8","15.5","411.7",".586","8.04","78.6","22.4","44.6","Fr","Fr",".270",".340",".424","43.3",".255",".323",".390","50.8","4","Av",  
"C","Hoiles, Chris R  ","$6,745,000","13308",".250",".343",".419","86.9","25.0","8.46","23.5","2567.0",".400","6.43","177.0","32.2","43.4","Fr","Pr",".266",".368",".460","21.4",".243",".331",".399","27.4","2","Av",  
"C","Robinson, Aaron L  ","$6,745,000","19664",".248",".343",".388","83.0","32.2","7.89","23.3","1340.9",".607","7.37","265.1","30.1","61.6","Pr","Pr",".220",".308",".309","52.4",".257",".353",".411","29.5","5","Av",  
"C, RF","Daulton, Darren L  ","$6,667,000","14896",".228",".333",".376","80.6","37.2","7.37","17.7","108.7",".725","6.34","111.4","25.6","88.8","Vg","Fr",".224",".328",".352","47.1",".233",".339",".391","33.8","4","Av",  
"DH, C, LF","Downing, Brian R  ","$6,663,000","19461",".249",".346",".387","83.1","38.0","8.32","19.5","514.2",".647","8.14","149.8","26.7","51.1","Fr","Pr",".259",".357",".414","34.5",".244",".341",".373","40.2","2","Fr",  
"C","Varitek, Jason S  ","$6,479,000","37208",".246",".321",".385","73.3","37.2","10.3","20.0","385.0",".596","6.05","138.0","26.9","42.4","Av","Fr",".251",".328",".399","34.2",".242",".316",".375","39.2","4","Av",  
"C, 1B","Jaso, John L  ","$6,469,000","11790",".266",".361",".391","87.1","57.0","7.99","15.8","508.3",".614","11.8","134.6","21.2","45.9","Fr","Pr",".224",".315",".296","151.2",".273",".369",".407","51.1","4","Fr",  
"C","McCann, Brian L  ","$6,468,000","23739",".257",".326",".404","77.3","31.9","10.9","21.3","649.0",".651","10.5","171.7","27.7","36.0","Av","Pr",".240",".307",".366","34.7",".263",".334",".419","31.0","2","Av",  
"C","Kling, Johnny R  ","$6,437,000","20720",".259",".312",".375","69.3","57.7","14.0","18.1","97.1",".637","8.00","124.7","23.7","53.1","Av","Av",".267",".323",".389","56.2",".256",".306",".369","58.5","3","Ex",  
"1B, C","Sweeney, Mike R  ","$6,192,000","21300",".271",".336",".408","81.1","39.0","11.8","18.0","182.7",".653","13.5","252.7","21.8","39.5","Av","Fr",".263",".316",".377","49.5",".276",".347",".426","35.1","4","Av",  
"C","Sims, Duke L  ","$6,180,000","22159",".237",".324",".384","75.0","29.5","9.33","25.0","721.8",".547","5.92","208.8","32.9","47.5","Pr","Pr",".234",".325",".365","30.7",".237",".321",".387","29.5","4","Av",  
"C","Johjima, Kenji R  ","$6,127,000","22695",".256",".302",".361","62.0","55.1","22.0","21.9","1223.2",".526","20.4","203.9","26.8","35.7","Fr","Pr",".256",".298",".354","67.7",".257",".303",".368","49.4","3","Vg",  
"C","Martin, Russell R  ","$6,076,000","7123",".244",".329",".357","69.9","43.7","9.44","25.8","145.6",".615","7.72","181.2","35.3","34.3","Av","Fr",".253",".340",".371","44.6",".239",".323",".349","43.0","3","Av",  
"C","Whitt, Ernie L  ","$6,002,000","13466",".241",".316",".364","68.3","41.2","9.98","22.7","379.0",".556","9.54","178.3","29.8","41.2","Fr","Fr",".203",".266",".258","87.6",".248",".325",".382","37.8","3","Vg",  
"DH, C, 1B, LF","Johnson, Cliff R  ","$5,970,000","19776",".247",".342",".437","90.2","21.9","8.54","20.5","1909.2",".444","6.29","272.7","26.0","47.4","Pr","Pr",".267",".363",".478","19.1",".236",".329",".412","24.3","8","Pr",  
"C","Lombardi, Ernie R  ","$5,934,000","15701",".277",".329",".419","77.8","29.8","15.1","25.2","535.6",".711","10.6","816.2","28.5","29.2","Av","Pr",".281",".343",".441","25.1",".274",".321",".407","32.8","7","Vg",  
"2B, C, 3B","Daly, Tom S  ","$5,929,000","14927",".242",".320",".355","68.8","60.7","9.81","18.5","43.0",".688","6.29","120.6","25.3","46.1","Vg","Vg",".245",".324",".351","59.8",".241",".318",".357","61.1","3","Av",  
"C","Gattis, Evan R  ","$5,885,000","50642",".248",".305",".431","75.6","23.6","13.6","21.2","1792.6",".554","7.19","123.2","28.6","35.3","Fr","Pr",".253",".309",".447","21.5",".245",".303",".421","25.2","3","Av",  
"C","Lopez, Javy R  ","$5,825,000","21368",".262",".309",".416","73.1","29.9","16.7","22.0","1547.5",".600","7.46","127.5","29.4","34.0","Pr","Pr",".262",".310",".428","25.6",".260",".306",".406","33.1","4","Fr",  
"C","Sanguillen, Manny R  ","$5,795,000","20246",".275",".299",".365","60.9","96.0","31.8","20.6","279.4",".567","15.4","107.8","27.0","37.7","Fr","Fr",".282",".312",".379","83.0",".271",".292",".356","108.3","4","Vg",  
"C","Danning, Harry R  ","$5,757,000","18168",".269",".312",".376","66.3","76.7","17.6","16.5","265.1",".617","8.72","135.3","20.5","34.4","Av","Fr",".279",".331",".393","71.1",".263",".302",".368","78.8","3","Vg",  
"C","Bailey, Ed L  ","$5,742,000","17525",".247",".339",".384","80.3","34.6","8.33","22.7","921.1",".611","7.24","173.2","30.9","50.8","Fr","Pr",".225",".308",".314","53.0",".252",".346",".401","32.0","2","Vg",  
"C","Hershberger, Willard R  ","$5,684,000","16491",".294",".338",".368","72.2","123.1","19.5","24.0","542.5",".541","12.5","132.6","32.4","38.3","Fr","Pr",".273",".303",".305","1840.0",".299",".348",".386","97.1","3","Fr",  
"C","Collins, Pat R  ","$5,650,000","10715",".230",".343",".360","76.8","30.7","6.85","31.9","1154.7",".647","4.86","977.1","39.3","42.1","Pr","Pr",".234",".344",".364","31.2",".227",".341",".357","30.6","3","Fr",  
"C","Clarke, Tommy R  ","$5,624,000","15571",".256",".341",".377","78.8","53.5","8.87","19.4","293.5",".598","7.63","83.7","30.4","48.8","Fr","Fr",".272",".354",".408","43.4",".248",".334",".362","60.0","4","Av",  
"C","Trouppe, Quincy S  ","$5,621,000","20874",".235",".300",".377","64.4","29.1","12.0","26.5","2104.7",".579","6.63","625.7","30.9","33.7","Pr","Pr",".247",".316",".401","27.0",".225",".288",".362","30.0","6","Vg",  
"C, RF","Ferguson, Joe R  ","$5,603,000","8496",".223",".337",".380","77.5","28.3","6.86","22.5","457.9",".537","5.45","179.9","31.4","35.3","Av","Fr",".228",".346",".401","24.5",".221",".332",".370","30.6","6","Av",  
"3B, C, 1B, LF","Nevin, Phil R  ","$5,603,000","29319",".265",".332",".430","82.6","26.7","10.9","21.5","573.5",".620","5.67","167.6","28.0","36.1","Av","Pr",".280",".355",".474","23.0",".256",".319",".404","29.4","13","Fr",  
"C","Pena, Tony F R  ","$5,575,000","15540",".256",".302",".352","59.8","80.5","16.8","19.7","205.3",".569","9.17","141.5","25.2","35.4","Fr","Fr",".268",".319",".383","58.3",".248",".290",".329","111.3","3","Vg",  
"3B, C","Inge, Brandon R  ","$5,545,000","16345",".226",".294",".350","60.3","45.2","11.9","20.9","324.5",".602","5.31","108.8","29.6","48.9","Fr","Fr",".239",".317",".374","42.4",".216",".277",".333","47.4","5","Vg",  
"C, 1B","Tabuchi, Kouichi R  ","$5,539,000","11567",".231",".319",".368","69.4","28.8","10.2","34.9","944.4",".518","8.81","314.8","45.8","34.9","Pr","Pr",".233",".321",".375","26.8",".230",".318",".364","30.0","4","Vg",  
"C, 1B, LF","Howard, Elston R  ","$5,496,000","10760",".265",".303",".392","66.8","43.6","20.4","20.7","2301.4",".454","7.21","115.1","27.3","35.8","Fr","Pr",".282",".331",".442","33.4",".256",".286",".365","51.9","3","Vg",  
"C","Battey, Earl R  ","$5,428,000","12469",".257",".327",".365","69.9","63.3","11.2","19.6","823.8",".515","8.74","118.7","27.1","34.7","Fr","Pr",".257",".328",".351","89.2",".257",".326",".371","55.9","4","Vg",  
"C","Nomura, Katsuya R  ","$5,425,000","27499",".239",".312",".355","64.0","37.3","11.3","31.3","164.5",".661","9.09","301.6","39.6","32.3","Av","Fr",".246",".317",".375","31.7",".235",".308",".342","42.5","4","Vg",  
"C","Lollar, Sherm R  ","$5,372,000","10936",".246",".324",".361","69.6","46.9","11.4","21.2","590.2",".677","9.81","275.4","26.4","37.0","Av","Pr",".252",".330",".365","47.4",".242",".321",".359","46.5","2","Vg",  
"C","Roseboro, Johnny L  ","$5,233,000","10680",".244",".313",".362","69.2","55.1","11.4","18.8","195.7",".586","8.74","113.7","25.8","75.1","Fr","Fr",".213",".266",".286","145.1",".255",".328",".386","46.0","3","Vg",  
"C","Cooper, Walker R  ","$5,045,000","17039",".263",".302",".424","72.3","29.9","20.0","19.1","1014.4",".562","8.77","126.8","24.3","34.2","Fr","Pr",".265",".307",".425","29.5",".262",".299",".423","30.2","4","Av",  
"C, 1B","McCarver, Tim L  ","$5,014,000","10475",".262",".323",".367","72.4","87.3","12.3","16.7","178.7",".631","16.4","106.6","22.4","63.5","Fr","Fr",".255",".313",".340","120.8",".265",".328",".377","80.4","4","Av",  
"C, 1B, LF, CF, RF","Carroll, Fred R  ","$5,008,000","11646",".251",".333",".361","72.9","74.2","9.99","17.0","112.2",".628","7.54","105.9","23.6","43.9","Av","Vg",".247",".329",".351","81.1",".253",".335",".367","70.9","5","Av",  
"C","Easterly, Ted L  ","$4,954,000","13242",".276",".313",".388","70.1","67.9","19.1","18.0","474.7",".536","8.30","88.5","24.8","45.2","Pr","Pr",".266",".300",".370","72.6",".280",".319",".395","65.9","7","Av",  
"C","Soto, Geovany R  ","$4,927,000","10553",".251",".339",".419","84.2","28.0","8.50","18.4","2022.3",".667","6.06","183.8","24.0","37.1","Pr","Pr",".265",".359",".456","23.7",".235",".315",".375","35.9","2","Av",  
"DH, C","LeCroy, Matt R  ","$4,912,000","76229",".264",".337",".421","82.6","28.0","10.2","21.0","1994.9",".531","6.47","393.5","25.1","34.4","Pr","Pr",".279",".358",".457","24.3",".233",".294",".349","40.3","5","Fr",  
"3B, C","Sudakis, Bill S  ","$4,907,000","17972",".229",".307",".391","71.4","26.4","10.1","23.9","1013.2",".690","5.95","177.8","31.8","44.9","Pr","Pr",".238",".323",".415","23.6",".225",".298",".378","28.2","8","Av",  
"C","Lieberthal, Mike R  ","$4,878,000","13785",".265",".327",".392","75.8","45.6","13.3","18.2","729.1",".539","12.1","178.0","22.8","41.8","Fr","Pr",".284",".357",".439","37.6",".247",".297",".347","57.0","3","Vg",  
"C","Clements, Jack L  ","$4,814,000","14525",".252",".307",".376","67.5","48.6","14.2","17.5","306.4",".598","7.17","194.3","21.3","46.2","Fr","Fr",".235",".281",".330","58.4",".255",".311",".387","46.5","3","Av",  
"C, 1B","Lucroy, Jonathan R  ","$4,812,000","12812",".267",".329",".360","69.5","89.6","12.1","20.0","429.5",".532","13.2","124.3","26.8","38.9","Av","Pr",".276",".337",".356","125.0",".262",".323",".359","81.5","2","Av",  
"C","Paulino, Ronny R  ","$4,802,000","40890",".279",".337",".373","71.1","63.0","12.1","22.6","2145.6",".488","11.3","479.3","26.3","26.9","Pr","Pr",".293",".356",".403","49.8",".245",".290",".301","170.4","3","Av",  
"3B, C, 1B, RF","White, Deacon L  ","$4,798,000","13444",".266",".321",".335","64.2","131.8","15.0","24.9","136.8",".635","9.08","199.6","31.6","50.8","Av","Fr",".257",".307",".308","235.4",".269",".326",".347","105.2","4","Av",  
"C","Crandall, Del R  ","$4,796,000","11926",".244",".291",".366","59.9","36.5","16.5","27.6","315.4",".651","10.2","307.9","33.2","34.5","Fr","Fr",".244",".295",".376","31.0",".243",".288",".359","40.3","2","Vg",  
"C, 1B, 3B","Grady, Mike R  ","$4,770,000","12130",".250",".328",".388","75.8","52.3","10.8","15.2","91.3",".633","7.13","78.7","22.0","42.7","Av","Vg",".262",".339",".407","50.0",".242",".320",".376","53.3","5","Fr",  
"C","Scioscia, Mike L  ","$4,765,000","7879",".253",".331",".351","71.9","75.8","9.69","19.3","236.2",".691","25.6","169.3","25.2","49.6","Fr","Fr",".219",".293",".284","116.8",".259",".337",".363","71.4","3","Av",  
"C","Davis, Spud R  ","$4,747,000","11516",".250",".313",".357","64.6","46.2","12.3","26.1","799.1",".516","7.78","345.5","31.6","36.0","Fr","Pr",".257",".325",".376","36.7",".246",".305",".342","57.0","3","Av",  
"C, 1B","Gowdy, Hank R  ","$4,714,000","9231",".238",".319",".340","66.4","58.4","9.92","21.8","89.5",".674","7.46","251.5","27.7","48.5","Av","Av",".254",".343",".355","58.2",".231",".309",".333","58.5","3","Vg",  
"C, 1B","Lopata, Stan R  ","$4,702,000","8963",".231",".324",".388","73.6","30.2","8.25","19.7","687.1",".429","5.44","174.7","26.0","33.9","Fr","Fr",".243",".343",".417","27.7",".221",".308",".364","32.6","4","Fr",  
"C","Shoppach, Kelly R  ","$4,698,000","13151",".231",".310",".413","76.5","25.8","11.5","17.5","1652.3",".600","3.58","127.1","23.4","55.3","Pr","Pr",".250",".333",".470","21.0",".208",".283",".344","35.7","3","Av",  
"C","Porter, Darrell L  ","$4,693,000","15292",".231",".330",".382","78.4","31.7","7.92","21.4","378.3",".644","6.60","122.6","31.1","58.9","Fr","Fr",".222",".316",".360","34.0",".234",".336",".388","31.4","6","Vg",  
"C","Wilkins, Rick L  ","$4,675,000","13945",".229",".312",".367","68.9","33.8","9.32","23.4","239.0",".589","4.86","171.5","31.3","55.0","Fr","Fr",".187",".256",".241","87.2",".235",".321",".387","30.8","4","Av",  
"C","Schalk, Ray R  ","$4,655,000","11575",".221",".299",".298","54.3","79.8","10.7","27.8","80.0",".624","8.75","323.8","35.3","60.9","Av","Av",".230",".304",".317","64.3",".215",".293",".287","89.6","3","Vg",  
"C, 1B, LF, RF","Wockenfuss, John R  ","$4,652,000","12075",".254",".339",".406","82.5","29.7","8.79","23.2","2303.8",".461","8.02","141.1","32.7","40.5","Pr","Pr",".274",".361",".443","27.7",".240",".325",".382","31.1","7","Fr",  
"C","Bennett, Charlie R  ","$4,626,000","11815",".228",".322",".357","69.9","47.6","8.33","17.9","235.3",".699","5.19","114.7","25.2","44.2","Av","Fr",".233",".336",".367","43.5",".225",".313",".351","50.5","2","Av",  
"C, RF","Blanchard, Johnny L  ","$4,622,000","22555",".240",".304",".425","76.0","20.6","12.3","27.7","2500.6",".556","8.33","294.2","34.3","42.5","Pr","Pr",".226",".287",".387","23.3",".244",".309",".435","20.1","8","Pr",  
"C","Burgess, Smoky L  ","$4,614,000","11719",".262",".321",".371","70.3","58.0","12.4","19.3","1177.6",".478","15.3","190.5","24.1","43.0","Pr","Pr",".223",".272",".286","98.2",".272",".333",".392","52.6","3","Fr",  
"C","Tipton, Joe R  ","$4,598,000","10933",".230",".324",".353","71.3","36.8","8.40","26.9","1802.6",".500","6.86","252.4","35.4","60.1","Pr","Pr",".245",".347",".378","31.4",".218",".305",".335","42.2","3","Av",  
"C","Pierzynski, A.J. L  ","$4,580,000","13709",".271",".312",".377","67.1","62.6","21.4","19.2","983.5",".500","14.5","191.6","23.2","36.4","Pr","Pr",".251",".280",".316","195.9",".276",".320",".391","54.2","3","Av",  
"LF, C, 1B, RF","Blefary, Curt L  ","$4,557,000","10301",".238",".334",".386","80.2","33.1","8.24","20.4","277.5",".531","9.08","132.6","28.8","62.8","Fr","Fr",".213",".295",".301","74.4",".242",".340",".401","30.1","10","Fr",  
"C","Avila, Alex L  ","$4,541,000","14334",".235",".342",".372","78.1","38.1","7.11","19.9","649.2",".812","4.49","144.3","28.0","41.5","Fr","Pr",".198",".297",".287","59.7",".240",".349",".384","36.2","3","Av",  
"C, 1B, LF, RF","Nilsson, Dave L  ","$4,513,000","12014",".264",".327",".395","76.8","40.9","11.6","19.7","246.2",".524","10.5","168.3","25.0","52.3","Fr","Fr",".231",".278",".311","74.8",".270",".335",".410","37.8","3","Pr",  
"C, 1B","Stanley, Mike R  ","$4,491,000","13110",".242",".331",".388","77.2","31.5","8.81","22.4","295.7",".699","6.11","171.4","30.4","40.0","Vg","Pr",".255",".354",".420","27.0",".233",".316",".368","35.2","6","Fr",  
"C","Wilson, Art R  ","$4,475,000","9674",".230",".328",".334","68.7","56.2","8.02","20.9","60.4",".700","5.72","313.6","26.5","49.5","Vg","Av",".240",".339",".345","57.5",".225",".322",".330","55.7","3","Vg",  
"C","Suzuki, Kurt R  ","$4,442,000","4554",".248",".311",".333","60.2","89.3","14.2","21.6",".000",".000","15.9","210.6","27.0","35.8","Fr","Pr",".240",".304",".331","87.3",".248",".311",".321","119.0","2","Av",  
