"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"1B","Palmeiro, Rafael L  ","$15,655,000","60379",".274",".354",".486","102.6","20.0","9.14","Av","68929",".809",".860","1","","Vg/66","","","","","","","&nbsp;","Fr","Iron",".340",".363",  
"3B","Rolen, Scott R  ","$15,640,000","28360",".272",".357",".447","96.0","29.1","8.87","Vg","32638",".842",".781","-1","","","","Ex/72","","","","","&nbsp;","Fr","Fragile",".373",".347",  
"1B, 3B, LF","Cabrera, Miguel R  ","$15,581,000","52358",".309",".377",".519","109.9","21.2","10.1","Fr","59039",".932",".872","-1","","Fr/125","","Fr/105","","Fr/163","","","Ex","Pr","Normal",".389",".369",  
"1B","Murray, Eddie S  ","$15,549,000","58304",".290",".365",".468","99.5","25.7","9.35","Fr","66210",".813",".844","1","","Vg/89","","","","","","","&nbsp;","Fr","Normal",".361",".367",  
"CF, LF, RF","Wynn, Jim R  ","$15,488,000","107638",".251",".360",".456","100.6","21.1","6.93","Vg","127757",".807",".823","0","","","","","","Vg/71","Vg/71","Vg/71","Av","Av","Normal",".354",".364",  
"RF, 3B, LF","Sheffield, Gary R  ","$15,471,000","99188",".289",".396",".499","117.5","19.8","6.87","Av","118590",".896",".894","0","","","","Pr/187","","Fr/129","","Fr/129","Av","Av","Prone",".395",".396",  
"3B","Santo, Ron R  ","$15,469,000","40896",".267",".358",".443","94.6","26.3","8.06","Av","47371",".775",".816","0","","","","Ex/84","","","","","&nbsp;","Fr","Iron",".349",".364",  
"3B, 1B, LF","Allen, Dick R  ","$15,455,000","173171",".291",".375",".544","116.9","17.4","8.36","Vg","199483",".992",".878","-2","","Av/115","","Av/141","","Fr/177","","","Fr","Fr","Prone",".403",".359",  
"1B, 3B","Thome, Jim L  ","$15,416,000","95641",".263",".383",".504","116.2","16.1","6.16","Fr","115613",".747",".978","5","","Fr/90","","Fr/107","","","","","&nbsp;","Pr","Normal",".330",".417",  
"C","Piazza, Mike R  ","$15,379,000","82263",".308",".367",".522","106.6","18.9","11.4","Pr","91442",".934",".863","-1","Av/112","","","","","","","","&nbsp;","Pr","Normal",".385",".356",  
"LF, 1B, CF","Yastrzemski, Carl L  ","$15,306,000","64193",".285",".372",".463","101.6","28.8","8.15","Av","74185",".710",".916","4","","Vg/120","","","","Vg/106","Av/106","","Vg","Fr","Iron",".332",".397",  
"3B, 1B","Boggs, Wade L  ","$15,223,000","63958",".326",".406",".422","103.9","113.0","8.40","Fr","73538",".755",".875","3","","Vg/103","","Av/84","","","","","&nbsp;","Pr","Normal",".379",".423",  
"SS, 3B","Vaughan, Arky L  ","$15,193,000","55639",".277",".370",".416","96.6","49.2","8.01","Vg","64831",".741",".817","1","","","","Av/76","Vg/93","","","","&nbsp;","Fr","Prone",".358",".378",  
"1B, 3B, LF","Killebrew, Harmon R  ","$15,174,000","153344",".262",".372",".519","112.4","14.6","6.75","Fr","182907",".928",".869","-1","","Av/101","","Fr/125","","Pr/125","","","Fr","Pr","Normal",".385",".364",  
"RF, SP, 1B, 2B, 3B, SS, LF, CF","Dihigo, Martin R  ","$15,156,000","42499",".282",".346",".465","92.6","26.9","11.2","Vg","47496",".846",".790","-1","","Vg/82","Fr/88","Vg/63","Fr/90","Vg/89","Av/89","Vg/89","Vg","Av","Normal",".359",".338",  
"1B","Giambi, Jason L  ","$15,116,000","91519",".276",".395",".488","116.2","19.2","6.48","Fr","111029",".835",".915","2","","Fr/110","","","","","","","&nbsp;","Pr","Normal",".379",".405",  
"1B, LF, CF, RF","Berkman, Lance S  ","$14,838,000","81983",".278",".377",".474","106.6","23.4","7.38","Fr","96246",".715",".946","4","","Fr/101","","","","Av/126","Fr/126","Av/126","Av","Fr","Normal",".329",".410",  
"LF, 1B, CF","Kelley, Joe R  ","$14,813,000","42746",".285",".364",".439","95.9","49.9","9.11","Ex","48859",".835",".786","-1","","Av/89","","","","Vg/59","Av/59","","Vg","Vg","Normal",".377",".358",  
"CF, RF","Doby, Larry L  ","$14,795,000","79197",".273",".354",".461","97.4","23.7","9.07","Vg","90419",".754",".859","2","","","","","","","Vg/77","Vg/77","Vg","Fr","Normal",".337",".366",  
"LF, CF","Simmons, Al R  ","$14,747,000","44796",".309",".350",".506","100.4","25.4","17.0","Av","48345",".894",".834","-3","","","","","","Vg/52","Av/52","","Av","Fr","Prone",".372",".337",  
"LF, RF","Keller, Charlie L  ","$14,720,000","121892",".273",".377",".489","112.7","20.5","7.01","Av","144487",".814",".902","1","","","","","","Av/76","","Av/76","Fr","Fr","Prone",".358",".390",  
"CF","Edmonds, Jim L  ","$14,694,000","45117",".275",".358",".481","101.7","21.5","8.86","Av","51563",".746",".898","3","","","","","","","Vg/64","","Vg","Fr","Fragile",".327",".377",  
"CF","Kauff, Benny L  ","$14,669,000","55621",".300",".376",".461","103.6","36.9","9.45","Ex","63396",".770",".878","1","","","","","","","Av/107","","Vg","Ex","Normal",".352",".391",  
"RF, 1B","Walker, Larry L  ","$14,606,000","81189",".285",".364",".481","102.6","24.8","9.93","Vg","92690",".772",".890","2","","Av/164","","","","","","Vg/75","Ex","Av","Prone",".338",".380",  
"2B","Alomar, Roberto S  ","$14,567,000","43368",".290",".360",".406","91.2","69.4","10.2","Vg","49138",".708",".805","2","","","Vg/63","","","","","","&nbsp;","Vg","Normal",".338",".374",  
"SS","Wells, Willie R  ","$14,519,000","59861",".277",".345",".408","84.8","63.4","10.7","Ex","67017",".745",".758","0","","","","","Vg/80","","","","&nbsp;","Av","Normal",".342",".347",  
"RF","Guerrero, Vladimir R  ","$14,428,000","62364",".304",".353",".509","100.9","21.7","14.9","Vg","68158",".933",".824","-2","","","","","","","","Av/218","Ex","Av","Normal",".381",".338",  
"RF, CF","Suzuki, Ichiro L  ","$14,369,000","57589",".312",".350",".368","80.8","383.9","18.6","Vg","61889",".721",".714","-1","","","","","","","Vg/39","Vg/39","Ex","Vg","Iron",".353",".347",  
"LF, CF","Stearnes, Turkey L  ","$14,303,000","64673",".274",".354",".463","95.9","26.7","11.0","Ex","73854",".798",".830","1","","","","","","Vg/100","Vg/100","","Vg","Av","Normal",".347",".359",  
"2B","Gehringer, Charlie L  ","$14,288,000","54975",".284",".352",".426","88.9","43.5","11.0","Vg","61570",".744",".796","2","","","Vg/71","","","","","","&nbsp;","Av","Normal",".341",".358",  
"1B, LF","McCovey, Willie L  ","$14,254,000","64551",".271",".368",".520","112.3","16.0","7.76","Av","75528",".774",".965","4","","Av/140","","","","Fr/218","","","Fr","Pr","Normal",".321",".399",  
"SS","Boudreau, Lou R  ","$14,245,000","61511",".285",".353",".408","86.6","65.2","10.7","Av","69606",".813",".734","-2","","","","","Ex/58","","","","&nbsp;","Fr","Normal",".372",".343",  
"SS, LF, CF","Yount, Robin R  ","$14,230,000","61179",".282",".341",".428","87.6","49.9","12.2","Ex","67685",".773",".769","0","","","","","Vg/80","Av/65","Av/65","","Fr","Av","Normal",".341",".341",  
"3B","Donaldson, Josh R  ","$14,228,000","26070",".270",".366",".453","99.4","25.5","7.72","Fr","30475",".880",".769","-2","","","","Vg/100","","","","","&nbsp;","Pr","Prone",".390",".348",  
"1B","Hernandez, Keith L  ","$14,145,000","51457",".284",".367",".415","92.3","48.1","8.69","Vg","58870",".756",".798","1","","Ex/63","","","","","","","&nbsp;","Fr","Normal",".361",".371",  
"CF","Jones, Andruw R  ","$14,133,000","51557",".254",".322",".448","83.6","22.2","11.4","Vg","57459",".764",".771","-1","","","","","","","Ex/54","","Ex","Av","Normal",".318",".323",  
"RF, 1B","Evans, Dwight R  ","$14,120,000","63135",".252",".354",".438","94.1","25.2","7.46","Vg","74048",".867",".745","-2","","Av/225","","","","","","Vg/68","Ex","Fr","Normal",".383",".336",  
"CF, LF","Hamilton, Billy L  ","$14,073,000","67233",".301",".403",".399","102.6","58.0","6.91","Ex","79625",".745",".841","1","","","","","","Vg/89","Vg/89","","Fr","Ex","Prone",".387",".414",  
"DH, 3B","Martinez, Edgar R  ","$14,051,000","56352",".302",".405",".491","118.6","26.4","6.83","Fr","67159",".926",".878","-1","","","","Pr/115","","","","","&nbsp;","Fr","Prone",".420",".397",  
"2B","Sandberg, Ryne R  ","$14,007,000","55113",".270",".334",".421","84.4","34.8","11.6","Vg","61230",".783",".739","-1","","","Vg/52","","","","","","&nbsp;","Vg","Normal",".344",".328",  
"LF, CF","Raines, Tim S  ","$13,990,000","58878",".286",".368",".411","98.3","66.7","8.89","Vg","67201",".783",".775","0","","","","","","Av/66","Fr/66","","Av","Ex","Prone",".370",".367",  
"CF, LF","Berger, Wally R  ","$13,966,000","110479",".273",".337",".499","97.1","19.1","11.7","Av","122898",".842",".832","0","","","","","","Vg/97","Vg/97","","Av","Fr","Normal",".341",".335",  
"2B","Gordon, Joe R  ","$13,939,000","73278",".265",".337",".460","89.1","22.6","10.3","Vg","82551",".824",".782","-1","","","Ex/100","","","","","","&nbsp;","Fr","Normal",".350",".330",  
"SS","Ripken, Cal R  ","$13,928,000","66818",".268",".336",".428","84.1","32.3","10.7","Av","74761",".786",".750","-1","","","","","Vg/66","","","","&nbsp;","Pr","Iron",".344",".331",  
"1B, CF","Connor, Roger L  ","$13,879,000","58900",".288",".370",".453","99.6","43.6","8.72","Vg","67705",".783",".847","1","","Vg/79","","","","","Fr/123","","Fr","Av","Iron",".354",".380",  
"2B, C","Biggio, Craig R  ","$13,692,000","55019",".287",".376",".416","98.8","52.4","9.27","Vg","63898",".815",".778","-1","Vg/83","","Av/88","","","","","","&nbsp;","Vg","Iron",".384",".370",  
"RF, LF","Colavito, Rocky R  ","$13,680,000","66115",".263",".351",".463","95.6","21.5","8.42","Fr","76189",".851",".793","-1","","","","","","Av/97","","Av/97","Ex","Pr","Iron",".363",".344",  
"LF, 1B","Kiner, Ralph R  ","$13,604,000","123878",".249",".357",".485","103.4","16.3","6.99","Fr","146835",".841",".841","0","","Fr/174","","","","Av/122","","","Fr","Pr","Normal",".356",".357",  
"2B","Cano, Robinson L  ","$13,583,000","16800",".295",".343",".437","85.9","39.1","15.4","Av","18258",".745",".815","2","","","Vg/63","","","","","","&nbsp;","Pr","Normal",".327",".357",  
"LF, 1B","Stargell, Willie L  ","$13,582,000","74331",".263",".341",".501","100.0","16.8","9.94","Fr","84084",".722",".920","3","","Fr/108","","","","Fr/127","","","Vg","Pr","Normal",".300",".367",  
"RF, 1B","Clark, Jack R  ","$13,558,000","101477",".260",".382",".481","109.3","18.9","6.08","Av","123090",".950",".809","-3","","Av/130","","","","","","Fr/115","Vg","Fr","Prone",".418",".359",  
"LF, 2B, 3B, RF","Phillips, Tony S  ","$13,475,000","115487",".260",".370",".364","87.6","70.5","6.73","Vg","137247",".737",".732","-1","","","Vg/84","Vg/133","","Ex/152","","Ex/152","Av","Av","Normal",".372",".369",  
"RF, 1B","Waner, Paul L  ","$13,474,000","74396",".292",".365",".443","95.9","50.3","9.98","Vg","84500",".740",".848","3","","Fr/121","","","","","","Vg/82","Vg","Fr","Normal",".341",".379",  
"CF","Beltran, Carlos S  ","$13,422,000","64036",".267",".344",".442","93.8","29.1","9.35","Vg","72803",".775",".795","-1","","","","","","","Vg/73","","Av","Vg","Prone",".344",".346",  
"LF","Wheat, Zack L  ","$13,422,000","56965",".300",".353",".450","92.9","40.4","13.8","Av","62683",".729",".850","2","","","","","","Ex/90","","","Fr","Fr","Normal",".328",".369",  
"LF, 1B, 2B, 3B, RF","Rose, Pete S  ","$13,377,000","48063",".296",".366",".398","89.3","95.2","10.3","Vg","53974",".666",".829","3","","Av/75","Fr/100","Fr/66","","Vg/30","","Vg/30","Av","Fr","Iron",".331",".388",  
"1B, 2B","Carew, Rod L  ","$13,358,000","65058",".317",".382",".406","93.9","159.1","10.7","Ex","73443",".764",".805","1","","Vg/109","Av/118","","","","","","&nbsp;","Vg","Normal",".376",".386",  
"LF","Burkett, Jesse L  ","$13,339,000","88631",".312",".384",".428","97.7","53.0","9.57","Av","100392",".768",".839","1","","","","","","Vg/120","","","Av","Vg","Iron",".370",".393",  
"LF, 1B, RF","Howard, Frank R  ","$13,329,000","69971",".280",".356",".511","101.8","17.3","9.57","Fr","79276",".963",".810","-3","","Fr/185","","","","Fr/121","","Fr/121","Fr","Pr","Normal",".394",".333",  
"3B, 1B","Rosen, Al R  ","$13,325,000","60576",".278",".359",".473","98.4","22.5","9.02","Av","69255",".865",".813","-1","","Av/195","","Av/85","","","","","&nbsp;","Fr","Normal",".375",".350",  
"RF, 1B, CF","Smith, Reggie S  ","$13,290,000","70196",".275",".350",".466","96.3","24.7","9.62","Vg","79455",".759",".851","1","","Fr/174","","","","","Vg/128","Vg/128","Vg","Fr","Prone",".329",".363",  
"LF, 3B, RF","Minoso, Minnie R  ","$13,279,000","50181",".280",".361",".424","91.8","43.5","11.0","Ex","57327",".766",".799","1","","","","Fr/138","","Vg/119","","Vg/119","Vg","Av","Iron",".356",".365",  
"CF","Ashburn, Richie L  ","$13,240,000","54617",".302",".375",".357","86.0","1365.4","9.94","Ex","62257",".724",".736","0","","","","","","","Ex/70","","Av","Av","Iron",".372",".377",  
"CF","Bell, Cool Papa S  ","$13,209,000","49066",".296",".347",".409","87.8","75.5","14.2","Ex","53963",".726",".773","1","","","","","","","Ex/42","","Fr","Ex","Normal",".337",".353",  
"3B","Wright, David R  ","$13,156,000","63907",".295",".373",".464","101.8","31.7","8.96","Vg","72833",".911",".795","-3","","","","Av/100","","","","","&nbsp;","Av","Prone",".402",".357",  
"1B","Delgado, Carlos L  ","$13,134,000","109106",".266",".363",".492","106.6","18.8","8.24","Pr","127599",".765",".913","3","","Av/113","","","","","","","&nbsp;","Pr","Normal",".330",".383",  
"RF, CF","Bonds, Bobby R  ","$13,043,000","60064",".262",".340",".459","94.8","23.6","9.65","Vg","67871",".775",".813","0","","","","","","","Av/98","Vg/98","Vg","Ex","Normal",".333",".344",  
"SS","Appling, Luke R  ","$12,986,000","79892",".291",".367",".367","83.2","148.8","9.43","Vg","90895",".764",".716","-1","","","","","Vg/106","","","","&nbsp;","Fr","Normal",".379",".360",  
"2B","Utley, Chase L  ","$12,944,000","37069",".271",".350",".423","91.4","36.2","11.2","Vg","42154",".699",".816","1","","","Ex/108","","","","","","&nbsp;","Fr","Prone",".326",".364",  
"CF, LF, RF","Duffy, Hugh R  ","$12,931,000","49493",".285",".337",".406","82.1","49.2","13.6","Ex","54312",".765",".735","-1","","","","","","Ex/73","Ex/73","Ex/73","Av","Ex","Iron",".346",".333",  
"1B","Gonzalez, Adrian L  ","$12,928,000","55053",".284",".348",".453","91.2","27.4","11.1","Fr","61442",".741",".842","2","","Vg/72","","","","","","","&nbsp;","Pr","Iron",".325",".363",  
"CF, LF, RF","Wilson, Hack R  ","$12,922,000","76932",".266",".355",".495","102.6","18.0","8.29","Av","88708",".879",".832","-1","","","","","","Av/121","Fr/121","Av/121","Fr","Fr","Normal",".367",".348",  
"SS","Larkin, Barry R  ","$12,907,000","28234",".280",".357",".397","88.7","61.5","9.45","Ex","32103",".846",".707","-2","","","","","Vg/70","","","","&nbsp;","Vg","Prone",".390",".340",  
"1B, C, RF","Chance, Frank R  ","$12,896,000","26485",".280",".371",".405","94.5","59.1","9.12","Ex","30808",".814",".759","-1","Fr/108","Vg/70","","","","","","Pr/177","Fr","Ex","Prone",".386",".364",  
"RF, 1B","Heilmann, Harry R  ","$12,889,000","66644",".313",".383",".499","109.9","29.9","9.82","Fr","75618",".933",".854","-1","","Av/151","","","","","","Fr/107","Av","Fr","Normal",".402",".372",  
"RF, LF, CF","Brown, Willard R  ","$12,855,000","40278",".276",".330",".461","87.1","23.5","13.5","Vg","44129",".804",".785","-1","","","","","","Vg/61","Av/61","Vg/61","Vg","Fr","Normal",".337",".326",  
"LF","Hill, Pete L  ","$12,844,000","53340",".295",".345",".434","87.6","45.2","14.6","Vg","58503",".718",".813","1","","","","","","Vg/90","","","Vg","Fr","Normal",".329",".355",  
"LF, 1B, CF","Magee, Sherry R  ","$12,842,000","65545",".285",".352",".453","94.4","41.5","11.5","Vg","73804",".838",".784","-1","","Pr/160","","","","Vg/68","Vg/68","","Fr","Ex","Normal",".363",".345",  
"SP, LF, RF","Rogan, Bullet Joe R  ","$12,815,000","11288",".259",".317",".400","72.5","41.5","12.9","Av","12405",".749",".689","-1","","","","","","Av/126","","Av/126","Vg","Av","Iron",".326",".308",  
"RF, LF, CF","Gonzalez, Juan R  ","$12,807,000","68214",".280",".326",".513","94.9","17.4","16.4","Av","74008",".901",".804","-2","","","","","","Av/101","Fr/101","Fr/101","Av","Pr","Prone",".354",".309",  
"CF","Carey, Max S  ","$12,803,000","63601",".262",".342",".383","84.5","52.3","9.79","Ex","72475",".705",".737","-1","","","","","","","Ex/98","","Vg","Ex","Normal",".338",".345",  
"SS","Jeter, Derek R  ","$12,773,000","112655",".306",".378",".422","96.4","54.2","10.5","Vg","127777",".876",".754","-2","","","","","Av/88","","","","&nbsp;","Av","Normal",".403",".362",  
